"TIME" "FP_COMP_OPS_EXE_X87" "BR_INST_RETIRED_ALL_BRANCHES" "BR_INST_RETIRED_CONDITIONAL" "BR_MISP_RETIRED_ALL_BRANCHES" "INSTR_RETIRED_ANY" "UOPS_RETIRED_ALL" "RESOURCE_STALLS_ANY" "INT_MISC_STALL_CYCLES" "L3_LAT_CACHE_MISS" "ICACHE_MISSES" "L2_RQSTS_MISS" "POWER" "UNHALTED_CLK_CYCLES"
320 3456 4862907 3827051 65153 20817765 17103193 190108 647870 2842 200757 62734 14.3 10660868
330 3432 3738954 2923006 48729 15970125 22794976 259295 834398 3213 246738 63975 14.1 12717197
340 3455 3579431 2818119 45019 15328270 17985548 217666 696207 2519 188877 49514 14.3 9772673
350 3326 3691573 2906173 48005 15772533 18134044 206350 712546 2649 187334 49028 14.2 9570084
360 3590 4732750 3727105 58595 20321222 22803641 259913 839649 2725 373459 203687 14.4 21383861
370 3395 3609253 2838515 44813 15545766 17755999 205548 695136 2801 191329 49159 14.3 9864104
380 4551 3662889 2870386 51253 15675139 122264175 5216838 7056941 6627 189263 48661 14.3 9744895
390 9483 5547557 4283377 83414 23692906 22676845 261772 848071 2316 258601 74887 14.2 13451991
400 3525 3580226 2818573 45011 15333376 17194210 194154 646706 2747 191945 51542 14.3 9817232
10 361 43130 22415 1305 751376 1059925 497487 472497 4357 1655 8224 2703.5 2439696
20 80117365 9593068400 5336400700 312837980 145850663000 173815279000 107322320000 113466920000 1060019330 722057960 2428484600 47.4 194128520000
30 81624269 9544918700 5436418800 214956410 152332900000 186734740000 108707008000 114621080000 1085352770 675617220 2071751800 48.4 193521240000
40 82333758 9297695400 5315788900 256733568 147638261000 179937230000 112705146000 118676531000 1093542030 711926330 2358638100 48.2 196186510000
50 83781174 8963716600 5263545900 307739246 142984221000 176434450000 113037386000 119367371000 1085415510 734234680 2373658100 47.9 1.95273e+11
60 77385110 9436532300 5412993700 411931450 145258933000 172383928000 108051088000 114554936000 1042094200 651936670 2344635440 47.8 191265632000
70 98954948 6177863600 3840852500 153777959 95741436000 120035859000 94492923500 96928808500 1109799680 149899517 1772028890 43.3 132587369000
80 101494577 5262762100 3199615660 89941011 76866092800 95394715792 83695297449 84438787862 1068854439 5693312 1460608646 41.2 110076768891
90 121916648 5074868300 2961795570 67579991 82130289000 103995070180 112821313757 114400318637 1188380045 3661998 1777275548 43.9 147388954280
100 142817515 4816726324 2823678702 34306737 88621759620 112785086000 146273070600 148900860800 1264154122 1835934 1658736930 45.5 178556548000
110 143957436 4817415009 2827183275 29263338 88749891750 113013601828 146906062095 149496823146 1268701889 1691073 1664335284 45.6 180197032000
120 150257750 4948451156 2735867070 64407187 86837045150 110648209000 138808620500 141635396900 1190327930 1626167 1658024570 45.3 176427138000
130 177034989 5053914800 2643766450 52263876 86329687000 112414408000 141919108000 145204240000 1222357360 1912640 1727977140 45.5 180056758000
140 194286364 5360204779 2563939785 45538167 86802417052 112994431000 146098708000 148878189000 1271655180 1939514 1674945174 45.7 181365289700
150 194413703 5363010031 2566104652 41007842 86840136939 113195309942 146453368926 149204687547 1274823222 1761369 1641362530 45.3 178080142000
160 195299433 5363458892 2564557751 39790251 86853640106 110273208000 138474680000 141368164000 1193733940 1674988 1609217980 45.2 174649501000
170 166630189 4980349200 2600484900 72032497 84245673000 113053241587 145976873416 148802231094 1273995775 1624890 1807764717 45.6 178082982000
180 101497119 3456652065 2774091653 24530452 70334326087 112823263300 146019930300 148791456700 1269676791 1224846 1674728638 44.1 151332952444
190 108045831 2645307608 2540753664 5851930 68228432561 95068704000 115181156000 117062640000 1123404770 842700 1491272342 41 106331661820
200 46844495 1200495360 1151455708 2057823 30332501310 5192851415 8643303022 8688413582 64901224 460140 438810852 22.3 29187570437
210 4525 4769299 3750672 59044 20592538 17249471 198346 649700 4417 212946 75209 14.6 12734370
220 3467 3586215 2822339 45357 15370671 24408832 393500 1112695 5487 272855 88495 14.5 15626476
230 3444 3593775 2828214 46163 15354930 17613898 229058 687696 2807 192263 51764 14.6 9887712
240 3880 5346653 4185065 76857 22945993 17549201 210849 657585 2878 188565 49592 14.5 9626514
250 3443 3559000 2804022 44685 15155289 93893458 3269382 5644481 12296 247375 62918 14.4 12806389
260 3487 3612230 2841054 44863 15536533 48584948 1166608 2429338 2626 190199 49082 14.6 9827819
270 3500 3589769 2825725 45899 15377296 23688905 352854 971850 1546 189010 48469 14.4 9745533
280 7600 5115435 3985206 77476 21780656 26215266 361673 1073007 1891 300355 86385 14.4 15197283
290 6456 3873822 3013611 57097 16617335 22643541 328776 1243115 2200 190286 50716 14.5 9818819
300 3492 3727006 2914239 47475 15932796 19820845 258790 781785 1945 190493 49438 14.3 9775718
310 3569 4764255 3749792 58858 20539883 23307753 290003 900081 1776 289083 99451 14.4 16112382
320 3420 3596074 2831099 45734 15391539 23111590 371112 1080327 1585 191159 49021 14.4 9853335
330 3501 4054124 3187063 58070 17332644 17263415 192134 636101 1203 189984 48630 14.2 9724829
340 3644 4709698 3711413 59223 20134889 23053267 270164 851941 1487 252246 69142 14.5 13932919
350 3495 3617852 2844257 45735 15603669 17615964 219370 732993 1142 189466 48128 14.4 9795756
360 3518 3669706 2870793 45337 15602502 18280095 243934 774745 1248 191932 49302 14.4 9848508
370 3671 4721040 3718895 59382 20168583 23440654 295203 929923 1215 246374 60549 14.4 12660311
380 10312 4227064 3246260 71472 18048235 21019256 326491 1006927 1553 189584 49234 14.4 9799055
390 3583 3645915 2868224 49534 15617110 20701916 300840 864053 705 191695 49916 14.4 9874291
400 3663 4778442 3762017 61591 20506360 22704131 260572 838681 1433 274562 83039 14.5 14377445
